flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump
RYR160H_20190907,RYR160H,,4ca242,EI-DCL,B738,,LFBD,,,unclear,unclear,unknown,,,,
MSR845_20190908,MSR845,MS845,0100df,SU-GCR,B738,HECA,,DAAG,,,,,,,,
ROU1522_20190909,ROU1522,AC1522,c0482a,C-GBIN,A319,CYUL,CYUL,CYYT,CYUL,cabin_pressure,return,unknown,,,,
AHK681_20190909,AHK681,LD681,780a86,B-LDM,A306,RCTP,RCTP,VHHH,RCTP,unclear,return,unknown,,,,
EDV5460_20190910,EDV5460,DL5460,a7dadc,N605LR,CRJ9,KATL,KTLH,KTLH,,,,,,,,
ASA445_20190911,ASA445,AS445,a35975,N315AS,B739,KLAX,KSEA,KSEA,,,,,,,,
CPA509_20190911,CPA509,CX509,780173,B-HNK,B773,RJAA,VHHH,VHHH,,,,,,,,
ROU1591_20190911,ROU1591,AC1591,c0466c,C-GARJ,A319,CYYZ,CYYC,CYYC,,,,,,,,
VLG3866_20190913,VLG3866,VY3866,3424d5,EC-KDG,A320,LEPA,,LEAS,,,,,,,,
ETH687_20190915,ETH687,ET687,040015,ET-ALO,B763,VIDP,VIDP,HAAB,VIDP,unclear,return,unknown,,,,
DKH1295_20190915,DKH1295,HO1295,78124e,B-1001,A321,ZSPD,VMMC,VMMC,,,,,,,,
IBK3502_20190915,IBK3502,D83502,4ca506,EI-FHM,B738,EKCH,,EGPH,,unclear,unclear,unknown,,,,
JBU1447_20190916,JBU1447,B61447,a2d27c,N281JB,E190,KHPN,KTPA,KTPA,,,,,,,,
